Time,demand_24,temperature_24,demand,temperature_forecast,Hour_24,Working_day_24
2021-12-27 07:00:00,35.22455413,-2.7,39.22944976,-1.3278370153885486,7.0,1.0
2021-12-27 08:00:00,37.31307546,-2.5,41.78548847,-1.8549526883320808,8.0,1.0
2021-12-27 09:00:00,38.01664913,-2.4,43.13692795,-2.5397909864148094,9.0,1.0
2021-12-27 10:00:00,38.90354879,-2.2,43.66078025,-2.868112069708439,10.0,1.0
2021-12-27 11:00:00,39.05546794,-2.2,43.24040154,-2.1145360486697435,11.0,1.0
2021-12-27 12:00:00,39.74969962,-2.3,42.6095664,-3.08837500183616,12.0,1.0
2021-12-27 13:00:00,39.6976236,-2.4,42.02299372,-2.8697369285440733,13.0,1.0
2021-12-27 14:00:00,39.4511994,-2.5,41.88949562,-1.7096553170550108,14.0,1.0
2021-12-27 15:00:00,40.1355519,-2.5,43.11335881,-3.324267984649069,15.0,1.0
2021-12-27 16:00:00,40.36150155,-2.6,44.29050887,-3.116254370409976,16.0,1.0
2021-12-27 17:00:00,40.0875144,-2.5,44.02256309,-1.1840939887162594,17.0,1.0
2021-12-27 18:00:00,39.06606334,-2.5,42.70435974,-2.525569088358042,18.0,1.0
2021-12-27 19:00:00,37.9601541,-2.1,41.6555719,-0.41191587046879197,19.0,1.0
2021-12-27 20:00:00,36.65023528,-2.2,40.23409129,-2.1774713627827778,20.0,1.0
2021-12-27 21:00:00,34.74020442,-2.1,38.04192277,-2.9242090269174787,21.0,1.0
2021-12-27 22:00:00,32.06565054,-2.1,35.28302221,-1.3432736509656324,22.0,1.0
2021-12-27 23:00:00,29.96581374,-1.8,32.62528051,-1.7116047176723377,23.0,1.0
2021-12-28 00:00:00,28.06442645,-1.5,30.89957642,-1.1228171189932756,0.0,1.0
2021-12-28 01:00:00,27.05637851,-1.4,29.80699091,-0.29072653912597324,1.0,1.0
2021-12-28 02:00:00,26.52878078,-1.3,29.21992087,0.010188442856887692,2.0,1.0
2021-12-28 03:00:00,26.11306797,-1.2,28.98627634,1.2009034856218423,3.0,1.0
2021-12-28 04:00:00,26.31417299,-1.3,28.90142066,-0.021348129482172684,4.0,1.0
2021-12-28 05:00:00,27.50910338,-1.2,30.02436434,-2.2050437391375404,5.0,1.0
2021-12-28 06:00:00,30.08825289,-1.3,32.31517723,-2.2985683389245253,6.0,1.0
2021-12-28 07:00:00,33.00540737,-1.3,35.22455413,-0.3757829486095068,7.0,1.0
2021-12-28 08:00:00,35.34104842,-1.2,37.31307546,-2.2237573471467926,8.0,1.0
2021-12-28 09:00:00,36.13467073,-1.1,38.01664913,-2.399158767266481,9.0,1.0
2021-12-28 10:00:00,36.97171417,-0.8,38.90354879,-1.3089408468126456,10.0,1.0
2021-12-28 11:00:00,36.96302183,-0.6,39.05546794,-1.0588790069726972,11.0,1.0
2021-12-28 12:00:00,37.21353154,-0.2,39.74969962,0.0580447510810605,12.0,1.0
2021-12-28 13:00:00,37.28720173,-0.1,39.6976236,0.006977755244951547,13.0,1.0
2021-12-28 14:00:00,37.00889702,-0.2,39.4511994,-1.5127495519464036,14.0,1.0
2021-12-28 15:00:00,37.7128561,-0.6,40.1355519,0.20511299294382956,15.0,1.0
2021-12-28 16:00:00,38.36520365,-0.5,40.36150155,-2.288454037547523,16.0,1.0
2021-12-28 17:00:00,38.12316883,-0.4,40.0875144,0.37070594242732313,17.0,1.0
2021-12-28 18:00:00,37.19916996,-0.4,39.06606334,-1.4088364537374107,18.0,1.0
2021-12-28 19:00:00,36.13018977,-0.6,37.9601541,-0.12740439685367605,19.0,1.0
2021-12-28 20:00:00,34.65968841,-0.4,36.65023528,-1.6801807455349609,20.0,1.0
2021-12-28 21:00:00,32.92578283,-0.4,34.74020442,-0.38572482356893956,21.0,1.0
2021-12-28 22:00:00,30.33690217,-0.3,32.06565054,-3.238148179282014,22.0,1.0
2021-12-28 23:00:00,28.0862582,-0.3,29.96581374,-0.5112625325439709,23.0,1.0
2021-12-29 00:00:00,26.6655534,-0.3,28.06442645,-0.2604637773031584,0.0,1.0
2021-12-29 01:00:00,25.93968568,-0.4,27.05637851,-0.7542053728655791,1.0,1.0
2021-12-29 02:00:00,25.56393274,-0.2,26.52878078,2.035228831691498,2.0,1.0
2021-12-29 03:00:00,25.4087738,0.0,26.11306797,0.043416825332298965,3.0,1.0
2021-12-29 04:00:00,25.66598002,0.2,26.31417299,-0.5687005606656339,4.0,1.0
2021-12-29 05:00:00,26.6086752,0.4,27.50910338,0.9852599497677034,5.0,1.0
2021-12-29 06:00:00,29.13877028,0.5,30.08825289,1.9794645522102332,6.0,1.0
2021-12-29 07:00:00,31.78487597,0.8,33.00540737,0.09452097405171955,7.0,1.0
2021-12-29 08:00:00,33.87313511,1.5,35.34104842,-0.060322069669260125,8.0,1.0
